Ãû³Æ	ItemGenre	DetailType	ParticularType	¶¯»­ÎÄ¼şÃû	¶ÔÓ¦Îï¼şË÷Òı	¿í¶È	¸ß¶È	ËµÃ÷ÎÄ×Ö	ÎåĞĞÊôĞÔ	¼Û¸ñ	µÈ¼¶	»ù´¡ÊôĞÔ1ÀàĞÍ	»ù´¡ÊôĞÔ1×îĞ¡Öµ	»ù´¡ÊôĞÔ1×î´óÖµ	»ù´¡ÊôĞÔ2ÀàĞÍ	»ù´¡ÊôĞÔ2×îĞ¡Öµ	»ù´¡ÊôĞÔ2×î´óÖµ	»ù´¡ÊôĞÔ3ÀàĞÍ	»ù´¡ÊôĞÔ3×îĞ¡Öµ	»ù´¡ÊôĞÔ3×î´óÖµ	»ù´¡ÊôĞÔ4ÀàĞÍ	»ù´¡ÊôĞÔ4×îĞ¡Öµ	»ù´¡ÊôĞÔ4×î´óÖµ	»ù´¡ÊôĞÔ5ÀàĞÍ	»ù´¡ÊôĞÔ5×îĞ¡Öµ	»ù´¡ÊôĞÔ5×î´óÖµ	»ù´¡ÊôĞÔ6ÀàĞÍ	»ù´¡ÊôĞÔ6×îĞ¡Öµ	»ù´¡ÊôĞÔ6×î´óÖµ	»ù´¡ÊôĞÔ7ÀàĞÍ	»ù´¡ÊôĞÔ7×îĞ¡Öµ	»ù´¡ÊôĞÔ7×î´óÖµ	ĞèÇóÊôĞÔ1ÀàĞÍ	ĞèÇóÊôĞÔ1ÊıÖµ	ĞèÇóÊôĞÔ2ÀàĞÍ	ĞèÇóÊôĞÔ2ÊıÖµ	ĞèÇóÊôĞÔ3ÀàĞÍ	ĞèÇóÊôĞÔ3ÊıÖµ	ĞèÇóÊôĞÔ4ÀàĞÍ	ĞèÇóÊôĞÔ4ÊıÖµ	ĞèÇóÊôĞÔ5ÀàĞÍ	ĞèÇóÊôĞÔ5ÊıÖµ	ĞèÇóÊôĞÔ6ÀàĞÍ	ĞèÇóÊôĞÔ6ÊıÖµ
MÆt n¹ - S¬n tÆc Gi¸p	0	11	288	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	1																																	
MÆt n¹ - S¬n tÆc Êt	0	11	289	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	1																																	
MÆt n¹ - S¬n tÆc Bİnh	0	11	290	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	1																																	
MÆt n¹ - S¬n tÆc §inh	0	11	291	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	1																																	
MÆt n¹ - S¬n tÆc MËu	0	11	292	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	1																																	
MÆt n¹ - S¬n tÆc Kû	0	11	293	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	1																																	
MÆt n¹ - S¬n tÆc Canh	0	11	294	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	1																																	
MÆt n¹ - Qu¸i thó	0	11	295	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	1																																	
MÆt n¹ - Méc nh©n	0	11	296	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	1																																	
MÆt n¹ - §ång nh©n	0	11	297	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	1																																	
MÆt n¹ - N÷ thİch kh¸ch	0	11	298	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	1																																	
MÆt n¹ - DiÖu Nh­	0	11	299	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	1																																	
MÆt n¹ - DiÖu Èn	0	11	300	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	1																																	
MÆt n¹ - DiÖp B¨ng H©n	0	11	301	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	1																																	
MÆt n¹ - TÇn û Phong	0	11	302	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	1																																	
MÆt n¹ - T¹ V©n La	0	11	303	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	1																																	
MÆt n¹ - Thanh Liªn Tö	0	11	304	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	1																																	
MÆt n¹ - §ång TŞch Nhan	0	11	305	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	1																																	
MÆt n¹ - Ngôy LiÔu ¤ng	0	11	306	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	1																																	
MÆt n¹ - Hßa Th­îng chiÕn ®Êu	0	11	307	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	1																																	
MÆt n¹ - La Khu«ng Sinh	0	11	308	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	1																																	
MÆt n¹ - §­êng Cõu	0	11	309	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	1																																	
MÆt n¹ - §­êng Nhµn	0	11	310	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	1																																	
MÆt n¹ - §­êng V©n	0	11	311	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	1																																	
MÆt n¹ - §­êng D·	0	11	312	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	1																																	
MÆt n¹ - H¹ Thµnh	0	11	313	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	1																																	
MÆt n¹ - H¾c DiÖn Lang Qu©n	0	11	314	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	1																																	
MÆt n¹ - §å DŞ	0	11	315	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	1																																	
MÆt n¹ - Ni c« chiÕn ®Êu	0	11	316	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	1																																	
MÆt n¹ - Kim Quèc Quan viªn	0	11	317	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	1																																	
MÆt n¹ - Long B¸t	0	11	318	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	1																																	
MÆt n¹ - LiÖu Kú	0	11	319	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	1																																	
MÆt n¹ - Phông HÊp Nh­	0	11	320	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	1																																	
MÆt n¹ - Tõ Tù Lùc	0	11	321	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	1																																	
MÆt n¹ - KiÕm ThËp Tam	0	11	322	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	1																																	
MÆt n¹ - YÕn Cöu	0	11	323	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	1																																	
MÆt n¹ - Bµnh Liªn §øc	0	11	324	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	1																																	
MÆt n¹ - L­u Phi Long	0	11	325	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	1																																	
MÆt n¹ - M¹c TiÓu Oanh	0	11	326	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	1																																	
MÆt n¹ - §µm Tam Tho¸i	0	11	327	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	1																																	
MÆt n¹ - Nam trung niªn ThÇn bİ	0	11	328	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	1																																	
MÆt n¹ - Long Ngò	0	11	329	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	1																																	
MÆt n¹ - Lé Tr­êng Thiªn	0	11	330	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	1																																	
MÆt n¹ - Lôc l©m	0	11	331	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	1																																	
MÆt n¹ - Phan Nh­ Long	0	11	332	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	1																																	
MÆt n¹ - M«ng Cæ Vâ sÜ	0	11	333	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	1																																	
MÆt n¹ - Thñy TÆc	0	11	334	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	1																																	
MÆt n¹ - Hµ Hoa §¹o	0	11	335	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	1																																	
MÆt n¹ - Long Truy Vò	0	11	336	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	1																																	
MÆt n¹ - Liªu §Şnh	0	11	337	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	1																																	
MÆt n¹ - L¹c Quang	0	11	338	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	1																																	
MÆt n¹ - Ng©n Nha	0	11	339	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	1																																	
MÆt n¹ - S­¬ng §ao	0	11	340	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	1																																	
MÆt n¹ - L·nh §ao	0	11	341	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	1																																	
MÆt n¹ - Hµn Th­¬ng	0	11	342	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	1																																	
MÆt n¹ - B«n L«i	0	11	343	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	1																																	
MÆt n¹ - §éc Bé	0	11	344	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	1																																	
MÆt n¹ - Gi¸ng Chïy	0	11	345	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	1																																	
MÆt n¹ - Xİch Ch­ëng	0	11	346	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	1																																	
MÆt n¹ - Lang Bæng	0	11	347	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	1																																	
MÆt n¹ - Bé Hi TrÇn	0	11	348	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	1																																	
MÆt n¹ - KiÒu §Ønh Thiªn	0	11	349	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	1																																	
MÆt n¹ - §iªu DŞch §ao	0	11	350	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	1																																	
MÆt n¹ - T©y M«n Giíi	0	11	351	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	1																																	
MÆt n¹ - HÇu KhÊt KiÕm	0	11	352	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	1																																	
MÆt n¹ - øng KhiÕu Phong	0	11	353	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	1																																	
MÆt n¹ - Viªn NiÖm TŞch	0	11	354	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	1																																	
MÆt n¹ - Ch÷ Thiªn MÉn	0	11	355	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	1																																	
MÆt n¹ - %Thiªn V­¬ng%	0	11	356	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	1																																	
MÆt n¹ - Lo¹n thÕ anh hµo	0	11	357	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	1																																	
MÆt n¹ - Truy mÖnh c­ sü	0	11	358	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	1																																	
MÆt n¹ - ThÇn tiªn	0	11	359	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	1																																	
MÆt n¹ - Nga chiÕn huyÕt	0	11	360	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	1																																	
MÆt n¹ - Hå ®iÖp bèi bèi	0	11	361	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	1																																	
MÆt n¹ - Ngäc mai lÇu	0	11	362	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	1																																	
MÆt n¹ - Thanh h­¬ng	0	11	363	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	1																																	
MÆt n¹ - Cæ ®¹o phong	0	11	364	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	1																																	
MÆt n¹ - Nh· háa n÷ nh©n	0	11	365	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	1																																	
MÆt n¹ ngôy trang	0	11	366	\spr\item\equip\mask\yrmj_03.spr	379	1	1	Mang vµo sÏ nhËn ®­îc 1 kü n¨ng ngôy trang, sö dông víi nh÷ng ng­êi ch¬i kh¸c cã thÓ biÕn thµnh h×nh d¸ng cña hä		0	1																																	
VINAGAME_GM	0	11	367	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	1																																	
TaiwanGAME_GM	0	11	368	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	1																																	
MÆt n¹ - L¹c Quang	0	11	369	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	1																																	
MÆt n¹ - Ng©n Nha	0	11	370	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	1																																	
MÆt n¹ - S­¬ng §ao	0	11	371	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	1																																	
MÆt n¹ - L·nh §ao	0	11	372	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	1																																	
MÆt n¹ - Hµn Th­¬ng	0	11	373	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	1																																	
MÆt n¹ - B«n L«i	0	11	374	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	1																																	
MÆt n¹ - §éc Bé	0	11	375	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	1																																	
MÆt n¹ - Gi¸ng Chïy	0	11	376	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	1																																	
MÆt n¹ - Xİch Ch­ëng	0	11	377	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	1																																	
MÆt n¹ - Lang Bæng	0	11	378	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	1																																	
MÆt n¹ - Tr­¬ng T«ng Chİnh	0	11	379	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	1																																	
MÆt n¹ - LiÔu Thanh Thanh	0	11	380	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	1																																	
MÆt n¹ - PhiÕn Kh¸ch	0	11	381	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	1																																	
MÆt n¹ - HuyÒn Gi¸c §¹i S­	0	11	382	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	2																																	
MÆt n¹ - Long Ngò	0	11	383	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	1																																	
MÆt n¹ - §ao song phông	0	11	384	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	1																																	
MÆt n¹ - Mé Dung YÕn	0	11	385	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	1																																	
MÆt n¹ - Tö hiÖp	0	11	386	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	1																																	
MÆt n¹ - B¹ch th¹ch ®¹o tr­ëng	0	11	387	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	1																																	
MÆt n¹ - Khai th¹ch ®¹i s­	0	11	388	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	1																																	
MÆt n¹ - §­êng thÇn	0	11	389	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	1																																	
MÆt n¹ - NguyÖt dao dao	0	11	390	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	1																																	
MÆt n¹ - YÕn triÖu	0	11	391	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	1																																	
MÆt n¹ - LiÔu Phi Yªn	0	11	392	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	1																																	
MÆt n¹ - Long thËp tam gia	0	11	393	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	1																																	
MÆt n¹ - ¤ng Giµ N«el (®á)	0	11	394	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	1																																	
MÆt n¹ - Thiªn Sø Gi¸ng Sinh (®á)	0	11	395	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	1																																	
MÆt n¹ - Tinh Linh (Lôc)	0	11	396	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	1																																	
MÆt n¹ - ¤ng Giµ N«el (xanh)	0	11	397	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	1																																	
MÆt n¹ - ¤ng Giµ N«el (Hång phÊn)	0	11	398	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	1																																	
MÆt n¹ - ¤ng Giµ N«el (tr¾ng)	0	11	399	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	1																																	
MÆt n¹ - ¤ng Giµ N«el (vµng)	0	11	400	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	1																																	
MÆt n¹ - Thiªn Sø Gi¸ng Sinh (xanh)	0	11	401	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	1																																	
MÆt n¹ - Thiªn Sø Gi¸ng Sinh (Hång phÊn)	0	11	402	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	1																																	
MÆt n¹ - Thiªn Sø Gi¸ng Sinh (tr¾ng)	0	11	403	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	1																																	
MÆt n¹ - Thiªn Sø Gi¸ng Sinh (vµng)	0	11	404	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	1																																	
MÆt n¹ - TuÇn Léc	0	11	405	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	1																																	
MÆt n¹ - T©n Niªn HiÖp Kh¸ch	0	11	406	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	1																																	
MÆt n¹ - T©n Niªn HiÖp N÷	0	11	407	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	1																																	
MÆt n¹ - D· TÈu	0	11	408	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	1																																	
MÆt n¹ - C¸t t­êng b¶o b¶o	0	11	409	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	1																																	
MÆt n¹ - Nh­ ı b¶o b¶o	0	11	410	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	1																																	
MÆt n¹ - Niªn thó b¶o b¶o	0	11	411	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	1																																	
MÆt n¹ - ThiÕu Niªn L«i KiÕm	0	11	412	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	1																																	
MÆt n¹ - ThiÕu Niªn TiÕu S­¬ng	0	11	413	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	1																																	
MÆt n¹ - ThiÕu Niªn Háa NhËn	0	11	414	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	1																																	
MÆt n¹ - ThiÕu Niªn H¶i §­êng	0	11	415	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	1																																	
MÆt n¹ - ThiÕu Niªn Kim Phong	0	11	416	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	1																																	
MÆt n¹ - B¹ch thµnh quËn chñ	0	11	417	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	1																																	
MÆt n¹ - Lam linh c«ng tö	0	11	418	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	1																																	
MÆt n¹ - TÇn bµ bµ	0	11	419	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	1																																	
MÆt n¹ - §«ng tö	0	11	420	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	1																																	
MÆt n¹ - Tinh Linh (xanh)	0	11	421	\spr\item\equip\mask\yrmj_01.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	1																																	
MÆt n¹ - Tinh Linh (tİm)	0	11	422	\spr\item\equip\mask\yrmj_01.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	1																																	
MÆt n¹ - Tinh Linh (®á)	0	11	423	\spr\item\equip\mask\yrmj_01.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	1																																	
MÆt n¹ - Tinh Linh (vµng)	0	11	424	\spr\item\equip\mask\yrmj_01.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	1																																	
MÆt n¹ - Hoµng TuyÕt Nh©n	0	11	425	\spr\item\equip\mask\yrmj_01.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	1																																	
MÆt n¹ - Tö TuyÕt Nh©n	0	11	426	\spr\item\equip\mask\yrmj_01.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	1																																	
MÆt n¹ - Lôc TuyÕt Nh©n	0	11	427	\spr\item\equip\mask\yrmj_01.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	1																																	
MÆt n¹ Cæ Thiªn KhuyÕt	0	11	428	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	1																																	
MÆt n¹ Chİnh Ng«n	0	11	429	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	1																																	
MÆt n¹ ChiÕu NhËt MiÖn	0	11	430	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	1																																	
MÆt n¹ §­êng H¹o	0	11	431	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	1																																	
MÆt n¹ DiÖu NhÊt	0	11	432	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	1																																	
MÆt n¹ LÖ ChiÕt Mai	0	11	433	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	1																																	
MÆt n¹ §o¹n Méc Ly	0	11	434	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	1																																	
MÆt n¹ B¹ch Lang	0	11	435	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	1																																	
MÆt n¹ TÇn HiÓu Th­	0	11	436	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	1																																	
MÆt n¹ L¨ng Tiªu Tö	0	11	437	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	1																																	
MÆt n¹ L­¬ng Mi Nhi	0	11	438	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	1																																	
MÆt n¹ - Thanh Niªn L«i KiÕm	0	11	439	\spr\item\equip\mask\yrmj_02.spr	379	1	1	Mang vµo sÏ biÕn thµnh NPC		0	1																																	
